"Processo","Ementa","Autor","Relator","Tramitação","Tramitacao Interna","Dias na Comissão","Dias no Estado Atual"
"PL 623/2024","DISPÕE SOBRE OS ESTABELECIMENTOS PÚBLICOS E PRIVADOS LOCALIZADOS NO MUNICÍPIO DE SÃO PAULO A INSERIREM, NAS PLACAS DE ATENDIMENTO PRIORITÁRIO, O SÍMBOLO MUNDIAL DO AUTISMO, E DÁ OUTRAS PROVIDÊNCIAS","Ver. GILBERTO NASCIMENTO (PL)Ver. ANDRÉ SANTOS (REPUBLICANOS)","","23/04/2026 16:28:00 - FIN  (Recebido de SAUDE)","23/04/2026 04:28 - Presidente da Comissão / Designar Relator","30","30"
"PL 621/2024","DENOMINA RUA HEITOR DANTAS SILVA, O LOGRADOURO PÚBLICO INOMINADO, LOCALIZADO NO BAIRRO JARDIM ÍRIS, ZONA OESTE DE SÃO PAULO.","Ver. ELISEU GABRIEL (PSB)","Ver. SILVINHO LEITE (UNIÃO)","03/12/2025 15:02:00 - FIN  (Recebido de EDUC)","21/05/2026 05:21 - Consultoria (CTEO.1) / Elaborar Minuta de Relatório","171","2"
"PL 587/2024","DISPÕE SOBRE A OBRIGATORIEDADE DE FORNECIMENTO DE CURSO DE CAPACITAÇÃO AOS PROFISSIONAIS BRINQUEDISTAS, ATUANTES NAS BRINQUEDOTECAS DE TODOS OS EQUIPAMENTOS DE ENSINO E DE SAÚDE NO ÂMBITO DO MUNICÍPIO DE SÃO PAULO PARA ATENDIMENTO E INCLUSÃO DAS CRIANÇAS COM TRANSTORNO DO ESPECTRO AUTISTA (TEA) E DÁ OUTRAS PROVIDÊNCIAS.","Ver. RUTE COSTA (PL)","Ver. ANA CAROLINA OLIVEIRA (PODE)","12/09/2025 16:37:00 - FIN  (Recebido de SAUDE)","27/11/2025 03:59 - Relator(a) / Estudo para manifestação do relator","253","177"
"PL 556/2024","INSTITUI A “CAMPANHA IDOSOS ÓRFÃOS DE FILHOS VIVOS”, QUE VISA CONSCIENTIZAR E COMBATER O ABANDONO DE IDOSOS, NO MUNICÍPIO DE SÃO PAULO.","Ver. DR. ADRIANO SANTOS (PT)Ver. JAIR TATTO (PT)","Ver. KEIT LIMA (PSOL)","01/04/2026 12:49:00 - FIN  (Recebido de SAUDE)","07/05/2026 05:08 - Relator(a) / Estudo para manifestação do relator","52","16"
"PL 537/2024","PROÍBE A INCITAÇÃO, A DEFESA OU A APOLOGIA A ATO OU IDEIA REALIZADO POR INDIVÍDUOS OU GRUPOS EXTREMISTAS QUE TENHAM PRATICADO TERRORISMO OU CRIME CONTRA A HUMANIDADE.","Ver. CRIS MONTEIRO (NOVO)","Ver. ANDRÉ SANTOS (REPUBLICANOS)","01/04/2026 12:49:00 - FIN  (Recebido de SAUDE)","08/04/2026 04:05 - Consultoria (CTEO.1) / Para análise","52","45"
"PL 505/2024","DISPÕE DA OBRIGATORIEDADE DE UMA EQUIPE ODONTOLÓGICA NOS CENTROS ESPECIALIZADOS EM REABILITAÇÃO (CER) DO MUNICÍPIO DE SÃO PAULO E DÁ OUTRAS PROVIDÊNCIAS.","Ver. MARCELO MESSIAS (MDB)Ver. SILVINHO LEITE (UNIÃO)","Ver. SILVINHO LEITE (UNIÃO)","12/09/2025 16:37:00 - FIN  (Recebido de SAUDE)","27/04/2026 05:44 - Secretaria (SGP.12) / Aguardando Resposta do Executivo","253","26"
"PL 504/2024","ALTERA A LEI Nº 14.660, DE 26 DE NOVEMBRO DE 2007, PARA ESTABELECER A JORNADA DE TRABALHO DOS PROFESSORES QUE PRESTAM SERVIÇOS NAS ENTIDADES INDIRETAS E PARCEIRAS DO MUNICÍPIO DE SÃO PAULO. [ESTATUTO DOS PROFISSIONAIS DA EDUCAÇÃO MUNICIPAL]","Ver. MARCELO MESSIAS (MDB)Ver. SILVINHO LEITE (UNIÃO)","Ver. ANA CAROLINA OLIVEIRA (PODE)","13/08/2025 17:57:00 - FIN  (Recebido de EDUC)","03/12/2025 06:46 - Relator(a) / Estudo para manifestação do relator","283","171"
"PL 500/2024","DISPÕE SOBRE A DENOMINAÇÃO DE RUA JOÃO AUGUSTO DE OLIVEIRA, A VIELA DOIS, CEP 05527-020, JARDIM CELESTE (ZONA OESTE), SP, DANDO AINDA OUTRAS PROVIDÊNCIAS.","Ver. RICARDO TEIXEIRA (UNIÃO)","Ver. ANA CAROLINA OLIVEIRA (PODE)","22/09/2025 18:09:00 - FIN  (Recebido de EDUC)","27/11/2025 04:41 - Relator(a) / Estudo para manifestação do relator","243","177"
"PL 493/2024","DISPÕE SOBRE A OFERTA DE CAPELOS PARA CABELOS CRESPOS E VOLUMOSOS NAS SOLENIDADES DE FORMATURA EM QUE SE FAÇA O USO DO ACESSÓRIO, REALIZADO NO MUNICÍPIO DE SÃO PAULO, E DÁ OUTRAS PROVIDÊNCIAS","Ver. JAIR TATTO (PT)Ver. KEIT LIMA (PSOL)","Ver. ALESSANDRO GUEDES (PT)","01/04/2026 14:34:00 - FIN  (Recebido de SAUDE)","07/05/2026 05:17 - Relator(a) / Estudo para manifestação do relator","52","16"
"PL 452/2024","INSTITUI A “CARTEIRA DE IDENTIFICAÇÃO DA PESSOA COM PARKINSON – CIPP” COMO INSTRUMENTO AUXILIAR DE ORIENTAÇÃO E IDENTIFICAÇÃO DE PESSOAS DIAGNOSTICADAS COM PARKINSON NA CIDADE DE SÃO PAULO","Ver. GILBERTO NASCIMENTO (PL)","Ver. ANA CAROLINA OLIVEIRA (PODE)","07/04/2026 18:47:00 - FIN  (Recebido de SAUDE)","07/04/2026 06:47 - Presidente da Comissão / Designar Relator","46","46"
